record_id,date,storage_gb,allocated_cost,actual_used_cost,service_clean,region_clean,status_clean,waste_cost,waste_percent,cpu_clean,,
159,21-03-2025,120,500,195,EC2,us-east,Idle,305,61%,21,,
160,21-03-2025,330,600,590,RDS,eu-central,Active,10,2%,74,,
161,22-03-2025,180,500,315,EC2,us-east,Active,185,37%,39,,
162,22-03-2025,470,700,660,S3,us-west,Active,40,6%,79,,
163,23-03-2025,110,500,140,EC2,us-east,Idle,360,72%,17,,
164,23-03-2025,315,600,530,RDS,eu-central,Active,70,12%,64,,
165,24-03-2025,27,200,57,LAMBDA,asia-south,Idle,143,72%,5,,
166,24-03-2025,510,700,680,S3,us-west,Active,20,3%,88,,
167,25-03-2025,190,500,360,EC2,us-east,Active,140,28%,43,,
168,25-03-2025,240,600,200,RDS,eu-central,Idle,400,67%,28,,
169,26-03-2025,285,500,490,EC2,us-east,Active,10,2%,94,,
170,26-03-2025,540,700,460,S3,us-west,Active,240,34%,61,,
171,27-03-2025,106,500,130,EC2,us-east,Idle,370,74%,16,,
172,27-03-2025,398,600,600,RDS,asia-south,Active,0,0%,87,,
173,28-03-2025,19,200,45,LAMBDA,us-west,Idle,155,78%,3,,
174,28-03-2025,560,700,699,S3,us-west,Active,1,0%,97,,
175,29-03-2025,175,500,305,EC2,us-east,Active,195,39%,37,,
176,29-03-2025,295,600,410,RDS,eu-central,Idle,190,32%,47.11111111,,
177,30-03-2025,30,200,60,LAMBDA,asia-south,Idle,140,70%,6,,
178,30-03-2025,590,700,700,S3,us-west,Active,0,0%,100,,
179,31-03-2025,122,500,200,EC2,us-east,Idle,300,60%,22,,
180,31-03-2025,332,600,592,RDS,eu-central,Active,8,1%,76,,
181,01-04-2025,182,500,320,EC2,us-east,Active,180,36%,40,,
182,01-04-2025,475,700,665,S3,us-west,Active,35,5%,80,,
183,02-04-2025,112,500,145,EC2,us-east,Idle,355,71%,18,,
184,02-04-2025,318,600,535,RDS,eu-central,Active,65,11%,65,,
185,03-04-2025,28,200,58,LAMBDA,asia-south,Idle,142,71%,5,,
186,03-04-2025,515,700,685,S3,us-west,Active,15,2%,89,,
187,04-04-2025,195,500,365,EC2,us-east,Active,135,27%,44,,
188,04-04-2025,245,600,205,RDS,eu-central,Idle,395,66%,29,,
189,05-04-2025,290,500,492,EC2,us-east,Active,8,2%,95,,
190,05-04-2025,545,700,465,S3,us-west,Active,235,34%,62,,
191,06-04-2025,108,500,135,EC2,us-east,Idle,365,73%,17,,
192,06-04-2025,400,600,600,RDS,asia-south,Active,0,0%,88,,
193,07-04-2025,20,200,46,LAMBDA,us-west,Idle,154,77%,4,,
194,07-04-2025,565,700,699,S3,us-west,Active,1,0%,98,,
195,08-04-2025,178,500,310,EC2,us-east,Active,190,38%,38,,
196,08-04-2025,298,600,415,RDS,eu-central,Idle,185,31%,47.11111111,,
197,09-04-2025,32,200,60,LAMBDA,asia-south,Idle,140,70%,6,,
198,09-04-2025,595,700,700,S3,us-west,Active,0,0%,99,,
199,10-04-2025,125,500,205,EC2,us-east,Idle,295,59%,23,,
200,10-04-2025,335,600,595,RDS,eu-central,Active,5,1%,78,,
